City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,ikang,4.7898,8.5316,76.69,95.0,51.0,3.51,NG,1717448053.0
324,kaliua,-5.0606,31.7936,70.99,53.0,3.0,4.68,TZ,1717448055.0
325,stony plain,53.5334,-114.0021,52.75,93.0,100.0,13.8,CA,1717448056.0
326,portage la prairie,49.9728,-98.2926,70.11,54.0,75.0,3.44,CA,1717448057.0
327,razgrad,43.5333,26.5167,63.57,91.0,100.0,6.4,BG,1717448058.0
328,azemmour,33.2895,-8.3425,66.27,92.0,23.0,7.87,MA,1717448059.0
329,nowshahr,36.649,51.496,69.75,73.0,20.0,0.0,IR,1717448060.0
330,belle fourche,44.6714,-103.8522,84.99,28.0,97.0,9.24,US,1717448062.0
331,egilsstadir,65.2653,-14.3948,37.31,65.0,100.0,20.71,IS,1717448063.0
332,tirhanimine,35.2362,-3.9545,66.09,73.0,20.0,6.91,MA,1717448064.0
333,arkhangel'sk,64.5401,40.5433,66.13,100.0,20.0,6.71,RU,1717448065.0
334,chongwe,-15.3292,28.682,61.38,50.0,0.0,3.15,ZM,1717448066.0
336,barentu,15.1139,37.5928,90.41,21.0,2.0,3.87,ER,1717448069.0
337,santa maria del oro,25.9333,-105.3667,98.1,3.0,4.0,16.89,MX,1717448070.0
338,wamba,8.9333,8.6,79.02,76.0,73.0,1.86,NG,1717448071.0
339,huilong,31.8111,121.655,64.38,92.0,99.0,6.96,CN,1717448072.0
340,punta del este,-34.9667,-54.95,51.91,66.0,40.0,10.36,UY,1717447902.0
341,ma'rib,15.4591,45.3253,83.89,14.0,13.0,3.0,YE,1717448074.0
342,micheweni,-4.9667,39.8333,79.18,82.0,93.0,12.71,TZ,1717448076.0
343,rawson,-43.3002,-65.1023,46.96,50.0,100.0,30.6,AR,1717447967.0
344,nabire,-3.3667,135.4833,76.12,92.0,100.0,3.58,ID,1717448078.0
346,benjamin constant,-4.3831,-70.0311,89.73,74.0,75.0,4.61,BR,1717448080.0
347,severo-yeniseyskiy,60.3725,93.0408,33.58,80.0,99.0,1.99,RU,1717448081.0
348,saranac lake,44.3295,-74.1313,79.12,27.0,75.0,5.82,US,1717448082.0
349,tofol,5.3248,163.0078,82.65,76.0,100.0,11.5,FM,1717448084.0
351,kirakira,-10.4544,161.9205,80.82,84.0,7.0,4.27,SB,1717448086.0
352,letterkenny,54.95,-7.7333,57.09,95.0,6.0,7.65,IE,1717448038.0
353,tindouf,27.6711,-8.1474,81.05,28.0,0.0,19.57,DZ,1717448089.0
354,oroqen zizhiqi,50.5667,123.7167,44.64,85.0,50.0,1.05,CN,1717448090.0
355,gizo,-8.103,156.8419,82.09,80.0,35.0,5.3,SB,1717448091.0
356,viedma,-40.8135,-62.9967,46.69,51.0,100.0,13.09,AR,1717447968.0
357,kristiansund,63.1115,7.732,48.85,72.0,75.0,12.66,NO,1717448093.0
358,kenai,60.5544,-151.2583,61.02,57.0,100.0,9.22,US,1717448094.0
359,puerto armuelles,8.2833,-82.8667,78.1,89.0,100.0,5.01,PA,1717448096.0
360,hilo,19.7297,-155.09,77.25,94.0,100.0,4.61,US,1717448097.0
361,chos malal,-37.3781,-70.2709,50.23,43.0,100.0,4.7,AR,1717448098.0
362,kremenchuk,49.0973,33.4197,67.89,68.0,63.0,3.06,UA,1717448099.0
363,bhit shah,25.8044,68.4927,83.44,72.0,0.0,21.79,PK,1717448100.0
364,knyaze-volkonskoye,48.4642,135.4567,50.34,70.0,0.0,4.0,RU,1717448101.0
366,dondo,-19.6094,34.7431,74.71,84.0,1.0,8.84,MZ,1717448104.0
367,beolgyo,34.8449,127.3429,58.21,92.0,0.0,2.37,KR,1717448105.0
368,beloyarskiy,63.7119,66.6722,43.0,64.0,53.0,4.0,RU,1717447992.0
369,welshpool,52.6597,-3.1471,58.87,87.0,95.0,2.48,GB,1717448107.0
370,florin,38.496,-121.4088,85.44,53.0,0.0,12.66,US,1717448109.0
371,alappuzha,9.49,76.3264,80.94,83.0,100.0,1.68,IN,1717448110.0
372,newman,37.3138,-121.0208,83.05,51.0,100.0,5.99,US,1717448039.0
373,armacao de buzios,-22.7469,-41.8817,77.05,85.0,18.0,12.84,BR,1717448003.0
374,najran,17.4924,44.1277,84.85,15.0,12.0,2.51,SA,1717448114.0
375,saint-philippe,-21.3585,55.7679,67.59,77.0,35.0,8.77,RE,1717448115.0
376,porto seguro,-16.4497,-39.0647,77.52,88.0,40.0,2.3,BR,1717448116.0
377,weno,7.4515,151.8468,82.35,89.0,75.0,9.22,FM,1717447985.0
378,galle,6.0367,80.217,79.23,88.0,70.0,7.11,LK,1717448119.0
379,altamira,-3.2033,-52.2064,89.69,66.0,40.0,10.36,BR,1717448120.0
380,alofi,-19.0595,-169.9187,76.89,73.0,100.0,10.36,NU,1717448121.0
381,glen innes,-29.7333,151.7333,37.9,60.0,100.0,2.37,AU,1717448122.0
382,as sulayyil,20.4607,45.5779,91.65,10.0,0.0,2.68,SA,1717448123.0
383,novyy urgal,51.0736,132.5642,47.1,62.0,34.0,0.83,RU,1717448125.0
384,pekanbaru,0.5333,101.45,80.92,94.0,100.0,2.3,ID,1717448126.0
385,mahajanga,-15.7167,46.3167,73.42,68.0,0.0,2.3,MG,1717448127.0
386,el bauga,18.262,33.9081,96.67,12.0,1.0,6.24,SD,1717448128.0
387,hasaki,35.7333,140.8333,61.2,72.0,100.0,15.9,JP,1717448129.0
389,tirmiz,37.2242,67.2783,80.69,24.0,40.0,11.5,UZ,1717448132.0
390,charleston,32.7766,-79.9309,88.02,57.0,0.0,13.8,US,1717448070.0
391,esmeraldas,-19.7625,-44.3139,77.86,59.0,57.0,3.0,BR,1717448134.0
392,betio village,1.358,172.9211,84.24,75.0,26.0,7.07,KI,1717448060.0
393,port alfred,-33.5906,26.891,56.97,50.0,63.0,18.41,ZA,1717448048.0
394,cynthiana,38.3904,-84.2941,83.86,68.0,100.0,5.77,US,1717448138.0
395,nuku'alofa,-21.1333,-175.2,73.74,78.0,75.0,8.05,TO,1717448139.0
396,sorong,-0.8833,131.25,78.84,88.0,100.0,7.36,ID,1717448140.0
397,mandalay,21.9747,96.0836,79.52,82.0,70.0,10.96,MM,1717448141.0
398,pasuquin,18.3328,120.6177,78.75,100.0,75.0,0.0,PH,1717448142.0
399,broome,42.2506,-75.833,81.18,64.0,20.0,1.99,US,1717448143.0
400,fale old settlement,-9.3852,-171.2468,83.89,77.0,77.0,12.75,TK,1717448110.0
401,nishinoomote,30.7333,131.0,71.46,64.0,29.0,7.36,JP,1717448146.0
402,san antonio de pale,-1.4014,5.6325,78.49,82.0,88.0,12.15,GQ,1717448037.0
403,kishtwar,33.3167,75.7667,61.97,42.0,0.0,7.05,IN,1717448148.0
404,ustka,54.5805,16.8619,53.65,95.0,74.0,13.65,PL,1717448149.0
405,turtas,58.9417,69.1325,37.71,78.0,1.0,5.06,RU,1717448150.0
406,morondava,-20.2833,44.2833,74.32,71.0,1.0,2.77,MG,1717448152.0
407,long beach,33.767,-118.1892,74.28,78.0,100.0,5.75,US,1717448047.0
408,fort mcmurray,56.7268,-111.381,60.39,51.0,0.0,13.8,CA,1717448029.0
409,jiayuguan,39.8167,98.3,54.54,41.0,2.0,3.02,CN,1717448039.0
410,kingscliff,-28.2667,153.5667,48.76,93.0,94.0,3.44,AU,1717448156.0
411,kaedi,16.1465,-13.5047,96.94,15.0,0.0,9.86,MR,1717448157.0
412,flying fish cove,-10.4217,105.6791,78.48,94.0,100.0,10.36,CX,1717447964.0
413,ibiruba,-28.6275,-53.0897,50.02,90.0,100.0,10.71,BR,1717447869.0
415,malango,-2.9627,119.9001,66.67,99.0,100.0,2.21,ID,1717448162.0
416,aizpute,56.7167,21.6,60.03,97.0,33.0,8.97,LV,1717448163.0
417,jamestown,42.097,-79.2353,77.45,64.0,20.0,8.05,US,1717447647.0
418,turan,16.0678,108.2208,82.38,78.0,20.0,2.3,VN,1717448166.0
419,novoishimskiy,53.1981,66.7694,59.61,91.0,67.0,6.91,KZ,1717448167.0
421,gonzales,30.2385,-90.9201,91.99,65.0,40.0,9.22,US,1717448169.0
422,sosnogorsk,63.6023,53.8817,54.54,67.0,100.0,5.99,RU,1717448170.0
423,ikalamavony,-21.15,46.5833,60.15,89.0,15.0,6.11,MG,1717448172.0
424,andradina,-20.8961,-51.3794,77.23,33.0,8.0,5.97,BR,1717448173.0
427,mili,6.0815,171.735,82.49,80.0,97.0,11.79,MH,1717448176.0
428,opuwo,-18.0607,13.84,50.9,14.0,0.0,1.34,NA,1717448178.0
429,olinda,-8.0089,-34.8553,78.53,94.0,75.0,6.91,BR,1717448025.0
430,gadzhiyevo,69.2551,33.3362,52.12,88.0,4.0,4.52,RU,1717447996.0
431,dombarovskiy,50.7587,59.5386,66.0,72.0,100.0,5.99,RU,1717448181.0
432,mildura,-34.2,142.15,46.65,49.0,100.0,4.7,AU,1717448182.0
433,kinkala,-4.3614,14.7644,73.6,79.0,5.0,2.77,CG,1717448183.0
434,yeosu,34.7546,127.6599,60.42,86.0,3.0,5.28,KR,1717448185.0
435,kanigiri,15.4,79.5167,84.67,69.0,100.0,1.9,IN,1717448186.0
436,vernon,50.2581,-119.2691,66.29,58.0,100.0,5.99,CA,1717448187.0
437,saint-joseph,-21.3667,55.6167,66.58,73.0,16.0,9.24,RE,1717448188.0
438,sant lluis,39.8526,4.2594,64.8,88.0,20.0,2.3,ES,1717448189.0
439,westport,41.1415,-73.3579,86.86,47.0,0.0,4.61,US,1717447962.0
442,tubarjal,30.4999,38.216,89.42,13.0,0.0,10.02,SA,1717448194.0
443,thames,-37.1333,175.5333,52.12,91.0,83.0,2.46,NZ,1717448195.0
444,al ain city,24.1917,55.7606,89.22,48.0,0.0,6.91,AE,1717447969.0
445,nova vicosa,-17.8919,-39.3719,74.35,84.0,22.0,6.22,BR,1717448198.0
446,sao jose da coroa grande,-8.8978,-35.1478,78.55,84.0,23.0,7.9,BR,1717448199.0
447,ugoofaaru,5.6667,73.0,83.3,79.0,100.0,11.39,MV,1717448200.0
448,nadym,65.5333,72.5167,25.97,95.0,39.0,4.83,RU,1717448201.0
449,bermejillo,25.8833,-103.6167,103.03,6.0,40.0,11.79,MX,1717448202.0
450,selfoss,63.9331,-20.9971,39.04,46.0,80.0,20.49,IS,1717448203.0
451,jalai nur,49.45,117.7,56.3,70.0,17.0,5.06,CN,1717448205.0
452,nar'yan-mar,67.6713,53.087,38.1,78.0,100.0,4.0,RU,1717448206.0
453,novodvinsk,64.4165,40.8122,65.79,87.0,100.0,3.09,RU,1717448207.0
454,montero,-17.3333,-63.25,85.1,46.0,1.0,9.57,BO,1717448208.0
455,jiuquan,39.7432,98.5174,53.92,56.0,6.0,4.92,CN,1717448209.0
456,bechar,31.6167,-2.2167,75.52,53.0,40.0,25.32,DZ,1717448211.0
457,elverum,60.8819,11.5623,54.81,44.0,72.0,9.62,NO,1717448212.0
458,chardara,41.2547,67.9692,71.02,38.0,4.0,8.88,KZ,1717448213.0
459,mahibadhoo,3.7833,72.9667,83.19,77.0,100.0,9.26,MV,1717448067.0
460,praia da vitoria,38.7333,-27.0667,68.76,82.0,20.0,5.17,PT,1717448215.0
461,burutu,5.3509,5.5076,78.42,91.0,85.0,5.79,NG,1717448216.0
462,queenstown,-31.8976,26.8753,39.85,70.0,31.0,25.03,ZA,1717447939.0
463,ghat,24.9647,10.1728,89.83,25.0,95.0,12.01,LY,1717448083.0
464,mount pearl,47.5166,-52.7813,49.44,98.0,100.0,11.5,CA,1717448220.0
465,entebbe,0.0644,32.4469,74.08,73.0,86.0,2.42,UG,1717448221.0
466,korsholm,63.1142,21.6822,62.55,67.0,100.0,4.61,FI,1717447975.0
467,chonglong,29.7806,104.8522,63.45,94.0,100.0,7.14,CN,1717448224.0
468,yarmouth,41.7057,-70.2286,74.14,68.0,0.0,13.0,US,1717448111.0
469,boac,13.4463,121.84,83.88,81.0,100.0,6.26,PH,1717448227.0
470,sarkisla,39.3519,36.4098,61.92,66.0,16.0,2.53,TR,1717448228.0
471,callao,-12.0667,-77.15,68.29,64.0,20.0,8.05,PE,1717447918.0
472,jaguey grande,22.5269,-81.1286,87.78,52.0,83.0,7.29,CU,1717448230.0
473,kapuskasing,49.4169,-82.4331,78.89,31.0,100.0,19.57,CA,1717447954.0
474,holualoa,19.6228,-155.9522,80.44,79.0,0.0,11.5,US,1717448222.0
475,concepcion del bermejo,-26.5993,-60.9462,61.74,49.0,22.0,7.47,AR,1717448234.0
476,kailua-kona,19.6406,-155.9956,84.16,78.0,0.0,11.5,US,1717448235.0
477,gariadhar,21.5333,71.5833,85.62,57.0,100.0,12.66,IN,1717448236.0
478,polva,58.0603,27.0694,66.13,95.0,100.0,5.82,EE,1717448237.0
479,brisas de zicatela,15.8369,-97.0419,89.15,61.0,96.0,9.66,MX,1717448239.0
480,arraial do cabo,-22.9661,-42.0278,75.16,83.0,75.0,6.91,BR,1717448107.0
481,el nido,11.1858,119.3956,82.6,78.0,100.0,3.58,PH,1717448241.0
482,al muwayh,22.4333,41.7583,89.73,11.0,0.0,8.79,SA,1717448242.0
483,levuka,50.1834,-105.4011,69.62,68.0,100.0,10.36,CA,1717448243.0
484,ribeira brava,32.65,-17.0667,68.63,66.0,7.0,4.88,PT,1717448244.0
485,ta`u,-14.2336,-169.5144,82.02,72.0,89.0,17.0,AS,1717447907.0
486,pizarro,4.9533,-77.366,82.69,85.0,100.0,8.93,CO,1717448247.0
487,nemuro,43.3236,145.575,44.92,95.0,100.0,8.3,JP,1717448248.0
488,codrington,-38.2667,141.9667,44.37,89.0,100.0,5.37,AU,1717448004.0
